(base) ➜  Synth git:(dev) cmake --build --preset dev --target run_synth
[  6%] Built target synth_desktop_audio
[ 58%] Built target synth_core
[ 65%] Built target synth_desktop_system
[ 89%] Built target synth_desktop_midi
[ 96%] Built target synth
[100%] Running desktop synth from the repository root
Opened MIDI input: MPK Mini Mk II
Playing silence. PortMidi connected to 1 input stream(s). Loaded MIDI config 'MPK Mini Mk II'. Press Enter to stop.
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=1
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=2
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=4
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=5
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=6
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=7
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=8
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=9
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=10
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=11
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=12
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=14
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=15
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=16
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=17
Mapped MIDI: saturation_mix=0.000 from channel=1 cc=28 value=0
Mapped MIDI: saturation_mix=0.016 from channel=1 cc=28 value=2
Mapped MIDI: saturation_mix=0.031 from channel=1 cc=28 value=4
Mapped MIDI: saturation_mix=0.039 from channel=1 cc=28 value=5
Mapped MIDI: saturation_mix=0.055 from channel=1 cc=28 value=7
Mapped MIDI: saturation_mix=0.063 from channel=1 cc=28 value=8
Mapped MIDI: saturation_mix=0.079 from channel=1 cc=28 value=10
Mapped MIDI: saturation_mix=0.087 from channel=1 cc=28 value=11
Mapped MIDI: saturation_mix=0.094 from channel=1 cc=28 value=12
Mapped MIDI: saturation_mix=0.102 from channel=1 cc=28 value=13
Mapped MIDI: saturation_mix=0.118 from channel=1 cc=28 value=15
Mapped MIDI: saturation_mix=0.126 from channel=1 cc=28 value=16
Mapped MIDI: saturation_mix=0.142 from channel=1 cc=28 value=18
Mapped MIDI: saturation_mix=0.150 from channel=1 cc=28 value=19
Mapped MIDI: saturation_mix=0.165 from channel=1 cc=28 value=21
Mapped MIDI: saturation_mix=0.181 from channel=1 cc=28 value=23
Mapped MIDI: saturation_mix=0.189 from channel=1 cc=28 value=24
Mapped MIDI: saturation_mix=0.205 from channel=1 cc=28 value=26
Mapped MIDI: saturation_mix=0.213 from channel=1 cc=28 value=27
Mapped MIDI: saturation_mix=0.220 from channel=1 cc=28 value=28
Mapped MIDI: saturation_mix=0.236 from channel=1 cc=28 value=30
Mapped MIDI: saturation_mix=0.244 from channel=1 cc=28 value=31
Mapped MIDI: saturation_mix=0.252 from channel=1 cc=28 value=32
Mapped MIDI: saturation_mix=0.268 from channel=1 cc=28 value=34
Mapped MIDI: saturation_mix=0.276 from channel=1 cc=28 value=35
Mapped MIDI: saturation_mix=0.291 from channel=1 cc=28 value=37
Mapped MIDI: saturation_mix=0.307 from channel=1 cc=28 value=39
Mapped MIDI: saturation_mix=0.315 from channel=1 cc=28 value=40
Mapped MIDI: saturation_mix=0.331 from channel=1 cc=28 value=42
Mapped MIDI: saturation_mix=0.339 from channel=1 cc=28 value=43
Mapped MIDI: saturation_mix=0.354 from channel=1 cc=28 value=45
Mapped MIDI: saturation_mix=0.362 from channel=1 cc=28 value=46
Mapped MIDI: saturation_mix=0.378 from channel=1 cc=28 value=48
Mapped MIDI: saturation_mix=0.394 from channel=1 cc=28 value=50
Mapped MIDI: saturation_mix=0.402 from channel=1 cc=28 value=51
Mapped MIDI: saturation_mix=0.417 from channel=1 cc=28 value=53
Mapped MIDI: saturation_mix=0.425 from channel=1 cc=28 value=54
Mapped MIDI: saturation_mix=0.441 from channel=1 cc=28 value=56
Mapped MIDI: saturation_mix=0.457 from channel=1 cc=28 value=58
Mapped MIDI: saturation_mix=0.465 from channel=1 cc=28 value=59
Mapped MIDI: saturation_mix=0.480 from channel=1 cc=28 value=61
Mapped MIDI: saturation_mix=0.488 from channel=1 cc=28 value=62
Mapped MIDI: saturation_mix=0.504 from channel=1 cc=28 value=64
Mapped MIDI: saturation_mix=0.512 from channel=1 cc=28 value=65
Mapped MIDI: saturation_mix=0.528 from channel=1 cc=28 value=67
Mapped MIDI: saturation_mix=0.535 from channel=1 cc=28 value=68
Mapped MIDI: saturation_mix=0.543 from channel=1 cc=28 value=69
Mapped MIDI: saturation_mix=0.551 from channel=1 cc=28 value=70
Mapped MIDI: saturation_mix=0.567 from channel=1 cc=28 value=72
Mapped MIDI: saturation_mix=0.575 from channel=1 cc=28 value=73
Mapped MIDI: saturation_mix=0.591 from channel=1 cc=28 value=75
Mapped MIDI: saturation_mix=0.606 from channel=1 cc=28 value=77
Mapped MIDI: saturation_mix=0.614 from channel=1 cc=28 value=78
Mapped MIDI: saturation_mix=0.630 from channel=1 cc=28 value=80
Mapped MIDI: saturation_mix=0.638 from channel=1 cc=28 value=81
Mapped MIDI: saturation_mix=0.654 from channel=1 cc=28 value=83
Mapped MIDI: saturation_mix=0.661 from channel=1 cc=28 value=84
Mapped MIDI: saturation_mix=0.677 from channel=1 cc=28 value=86
Mapped MIDI: saturation_mix=0.693 from channel=1 cc=28 value=88
Mapped MIDI: saturation_mix=0.709 from channel=1 cc=28 value=90
Mapped MIDI: saturation_mix=0.724 from channel=1 cc=28 value=92
Mapped MIDI: saturation_mix=0.732 from channel=1 cc=28 value=93
Mapped MIDI: saturation_mix=0.748 from channel=1 cc=28 value=95
Mapped MIDI: saturation_mix=0.764 from channel=1 cc=28 value=97
Mapped MIDI: saturation_mix=0.772 from channel=1 cc=28 value=98
Mapped MIDI: saturation_mix=0.787 from channel=1 cc=28 value=100
Mapped MIDI: saturation_mix=0.795 from channel=1 cc=28 value=101
Mapped MIDI: saturation_mix=0.811 from channel=1 cc=28 value=103
Mapped MIDI: saturation_mix=0.819 from channel=1 cc=28 value=104
Mapped MIDI: saturation_mix=0.835 from channel=1 cc=28 value=106
Mapped MIDI: saturation_mix=0.843 from channel=1 cc=28 value=107
Mapped MIDI: saturation_mix=0.858 from channel=1 cc=28 value=109
Mapped MIDI: saturation_mix=0.866 from channel=1 cc=28 value=110
Mapped MIDI: saturation_mix=0.882 from channel=1 cc=28 value=112
Mapped MIDI: saturation_mix=0.898 from channel=1 cc=28 value=114
Mapped MIDI: saturation_mix=0.906 from channel=1 cc=28 value=115
Mapped MIDI: saturation_mix=0.921 from channel=1 cc=28 value=117
Mapped MIDI: saturation_mix=0.929 from channel=1 cc=28 value=118
Mapped MIDI: saturation_mix=0.945 from channel=1 cc=28 value=120
Mapped MIDI: saturation_mix=0.953 from channel=1 cc=28 value=121
Mapped MIDI: saturation_mix=0.969 from channel=1 cc=28 value=123
Mapped MIDI: saturation_mix=0.976 from channel=1 cc=28 value=124
Mapped MIDI: saturation_mix=0.992 from channel=1 cc=28 value=126
Mapped MIDI: saturation_mix=1.000 from channel=1 cc=28 value=127
Mapped MIDI: saturation_drive=0.189 from channel=1 cc=26 value=1
Mapped MIDI: saturation_drive=0.000 from channel=1 cc=26 value=0
Mapped MIDI: saturation_drive=0.189 from channel=1 cc=26 value=1
Mapped MIDI: saturation_drive=0.567 from channel=1 cc=26 value=3
Mapped MIDI: saturation_drive=0.756 from channel=1 cc=26 value=4
Mapped MIDI: saturation_drive=1.134 from channel=1 cc=26 value=6
Mapped MIDI: saturation_drive=1.323 from channel=1 cc=26 value=7
Mapped MIDI: saturation_drive=1.701 from channel=1 cc=26 value=9
Mapped MIDI: saturation_drive=1.890 from channel=1 cc=26 value=10
Mapped MIDI: saturation_drive=2.268 from channel=1 cc=26 value=12
Mapped MIDI: saturation_drive=2.646 from channel=1 cc=26 value=14
Mapped MIDI: saturation_drive=2.835 from channel=1 cc=26 value=15
Mapped MIDI: saturation_drive=3.213 from channel=1 cc=26 value=17
Mapped MIDI: saturation_drive=3.591 from channel=1 cc=26 value=19
Mapped MIDI: saturation_drive=3.780 from channel=1 cc=26 value=20
Mapped MIDI: saturation_drive=4.157 from channel=1 cc=26 value=22
Mapped MIDI: saturation_drive=4.535 from channel=1 cc=26 value=24
Mapped MIDI: saturation_drive=4.724 from channel=1 cc=26 value=25
Mapped MIDI: saturation_drive=5.102 from channel=1 cc=26 value=27
Mapped MIDI: saturation_drive=5.480 from channel=1 cc=26 value=29
Mapped MIDI: saturation_drive=5.669 from channel=1 cc=26 value=30
Mapped MIDI: saturation_drive=6.047 from channel=1 cc=26 value=32
Mapped MIDI: saturation_drive=6.236 from channel=1 cc=26 value=33
Mapped MIDI: saturation_drive=6.614 from channel=1 cc=26 value=35
Mapped MIDI: saturation_drive=6.803 from channel=1 cc=26 value=36
Mapped MIDI: saturation_drive=7.181 from channel=1 cc=26 value=38
Mapped MIDI: saturation_drive=7.370 from channel=1 cc=26 value=39
Mapped MIDI: saturation_drive=7.748 from channel=1 cc=26 value=41
Mapped MIDI: saturation_drive=8.126 from channel=1 cc=26 value=43
Mapped MIDI: saturation_drive=8.504 from channel=1 cc=26 value=45
Mapped MIDI: saturation_drive=8.882 from channel=1 cc=26 value=47
Mapped MIDI: saturation_drive=9.071 from channel=1 cc=26 value=48
Mapped MIDI: saturation_drive=9.449 from channel=1 cc=26 value=50
Mapped MIDI: saturation_drive=9.638 from channel=1 cc=26 value=51
Mapped MIDI: saturation_drive=10.016 from channel=1 cc=26 value=53
Mapped MIDI: saturation_drive=10.205 from channel=1 cc=26 value=54
Mapped MIDI: saturation_drive=10.583 from channel=1 cc=26 value=56
Mapped MIDI: saturation_drive=10.772 from channel=1 cc=26 value=57
Mapped MIDI: saturation_drive=11.150 from channel=1 cc=26 value=59
Mapped MIDI: saturation_drive=11.528 from channel=1 cc=26 value=61
Mapped MIDI: saturation_drive=11.717 from channel=1 cc=26 value=62
Mapped MIDI: saturation_drive=11.906 from channel=1 cc=26 value=63
Mapped MIDI: saturation_drive=12.094 from channel=1 cc=26 value=64
Mapped MIDI: saturation_drive=12.472 from channel=1 cc=26 value=66
Mapped MIDI: saturation_drive=12.850 from channel=1 cc=26 value=68
Mapped MIDI: saturation_drive=13.039 from channel=1 cc=26 value=69
Mapped MIDI: saturation_drive=13.417 from channel=1 cc=26 value=71
Mapped MIDI: saturation_drive=13.606 from channel=1 cc=26 value=72
Mapped MIDI: saturation_drive=13.984 from channel=1 cc=26 value=74
Mapped MIDI: saturation_drive=14.362 from channel=1 cc=26 value=76
Mapped MIDI: saturation_drive=14.740 from channel=1 cc=26 value=78
Mapped MIDI: saturation_drive=14.929 from channel=1 cc=26 value=79
Mapped MIDI: saturation_drive=15.307 from channel=1 cc=26 value=81
Mapped MIDI: saturation_drive=15.496 from channel=1 cc=26 value=82
Mapped MIDI: saturation_drive=15.685 from channel=1 cc=26 value=83
Mapped MIDI: saturation_drive=15.874 from channel=1 cc=26 value=84
Mapped MIDI: saturation_drive=16.063 from channel=1 cc=26 value=85
Mapped MIDI: saturation_drive=16.252 from channel=1 cc=26 value=86
Mapped MIDI: saturation_drive=16.441 from channel=1 cc=26 value=87
Mapped MIDI: saturation_drive=16.819 from channel=1 cc=26 value=89
Mapped MIDI: saturation_drive=17.197 from channel=1 cc=26 value=91
Mapped MIDI: saturation_drive=17.386 from channel=1 cc=26 value=92
Mapped MIDI: saturation_drive=17.575 from channel=1 cc=26 value=93
Mapped MIDI: saturation_drive=17.764 from channel=1 cc=26 value=94
Mapped MIDI: saturation_drive=18.142 from channel=1 cc=26 value=96
Mapped MIDI: saturation_drive=18.331 from channel=1 cc=26 value=97
Mapped MIDI: saturation_drive=18.709 from channel=1 cc=26 value=99
Mapped MIDI: saturation_drive=18.898 from channel=1 cc=26 value=100
Mapped MIDI: saturation_drive=19.276 from channel=1 cc=26 value=102
Mapped MIDI: saturation_drive=19.654 from channel=1 cc=26 value=104
Mapped MIDI: saturation_drive=19.843 from channel=1 cc=26 value=105
Mapped MIDI: saturation_drive=20.220 from channel=1 cc=26 value=107
Mapped MIDI: saturation_drive=20.409 from channel=1 cc=26 value=108
Mapped MIDI: saturation_drive=20.598 from channel=1 cc=26 value=109
Mapped MIDI: saturation_drive=20.787 from channel=1 cc=26 value=110
Mapped MIDI: saturation_drive=21.165 from channel=1 cc=26 value=112
Mapped MIDI: saturation_drive=21.354 from channel=1 cc=26 value=113
Mapped MIDI: saturation_drive=21.543 from channel=1 cc=26 value=114
Mapped MIDI: saturation_drive=21.732 from channel=1 cc=26 value=115
Mapped MIDI: saturation_drive=22.110 from channel=1 cc=26 value=117
Mapped MIDI: saturation_drive=22.299 from channel=1 cc=26 value=118
Mapped MIDI: saturation_drive=22.488 from channel=1 cc=26 value=119
Mapped MIDI: saturation_drive=22.677 from channel=1 cc=26 value=120
Mapped MIDI: saturation_drive=23.055 from channel=1 cc=26 value=122
Mapped MIDI: saturation_drive=23.433 from channel=1 cc=26 value=124
Mapped MIDI: saturation_drive=23.622 from channel=1 cc=26 value=125
Mapped MIDI: saturation_drive=23.811 from channel=1 cc=26 value=126
Mapped MIDI: saturation_drive=24.000 from channel=1 cc=26 value=127
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=18
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=19
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=20
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=21
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=22
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=23
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=24
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=25
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=26
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=27
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=28
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=29
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=30
Mapped MIDI: effect_selector=saturation from channel=1 cc=25 value=31
Mapped MIDI: effect_selector=distortion from channel=1 cc=25 value=32
Mapped MIDI: effect_selector=distortion from channel=1 cc=25 value=33
Mapped MIDI: effect_selector=distortion from channel=1 cc=25 value=34
Mapped MIDI: effect_selector=distortion from channel=1 cc=25 value=35
Mapped MIDI: distortion_drive=0.000 from channel=1 cc=26 value=0
Mapped MIDI: distortion_drive=0.504 from channel=1 cc=26 value=2
Mapped MIDI: distortion_drive=0.756 from channel=1 cc=26 value=3
Mapped MIDI: distortion_drive=1.260 from channel=1 cc=26 value=5
Mapped MIDI: distortion_drive=1.764 from channel=1 cc=26 value=7
Mapped MIDI: distortion_drive=2.016 from channel=1 cc=26 value=8
Mapped MIDI: distortion_drive=2.520 from channel=1 cc=26 value=10
Mapped MIDI: distortion_drive=2.772 from channel=1 cc=26 value=11
Mapped MIDI: distortion_drive=3.024 from channel=1 cc=26 value=12
Mapped MIDI: distortion_drive=3.276 from channel=1 cc=26 value=13
Mapped MIDI: distortion_drive=3.780 from channel=1 cc=26 value=15
Mapped MIDI: distortion_drive=4.031 from channel=1 cc=26 value=16
Mapped MIDI: distortion_drive=4.283 from channel=1 cc=26 value=17
Mapped MIDI: distortion_drive=4.535 from channel=1 cc=26 value=18
Mapped MIDI: distortion_drive=5.039 from channel=1 cc=26 value=20
Mapped MIDI: distortion_drive=5.543 from channel=1 cc=26 value=22
Mapped MIDI: distortion_drive=6.047 from channel=1 cc=26 value=24
Mapped MIDI: distortion_drive=6.299 from channel=1 cc=26 value=25
Mapped MIDI: distortion_drive=6.551 from channel=1 cc=26 value=26
Mapped MIDI: distortion_drive=6.803 from channel=1 cc=26 value=27
Mapped MIDI: distortion_drive=7.055 from channel=1 cc=26 value=28
Mapped MIDI: distortion_drive=7.307 from channel=1 cc=26 value=29
Mapped MIDI: distortion_drive=7.559 from channel=1 cc=26 value=30
Mapped MIDI: distortion_drive=7.811 from channel=1 cc=26 value=31
Mapped MIDI: distortion_drive=8.063 from channel=1 cc=26 value=32
Mapped MIDI: distortion_drive=8.315 from channel=1 cc=26 value=33
Mapped MIDI: distortion_drive=8.567 from channel=1 cc=26 value=34
Mapped MIDI: distortion_drive=8.819 from channel=1 cc=26 value=35
Mapped MIDI: distortion_drive=9.071 from channel=1 cc=26 value=36
Mapped MIDI: distortion_drive=9.323 from channel=1 cc=26 value=37
Mapped MIDI: distortion_drive=9.575 from channel=1 cc=26 value=38
Mapped MIDI: distortion_drive=9.827 from channel=1 cc=26 value=39
Mapped MIDI: distortion_drive=10.079 from channel=1 cc=26 value=40
Mapped MIDI: distortion_drive=10.331 from channel=1 cc=26 value=41
Mapped MIDI: distortion_drive=10.583 from channel=1 cc=26 value=42
Mapped MIDI: distortion_drive=10.835 from channel=1 cc=26 value=43
Mapped MIDI: distortion_drive=11.087 from channel=1 cc=26 value=44
Mapped MIDI: distortion_drive=11.339 from channel=1 cc=26 value=45
Mapped MIDI: distortion_drive=11.591 from channel=1 cc=26 value=46
Mapped MIDI: distortion_drive=12.094 from channel=1 cc=26 value=48
Mapped MIDI: distortion_drive=12.346 from channel=1 cc=26 value=49
Mapped MIDI: distortion_drive=12.850 from channel=1 cc=26 value=51
Mapped MIDI: distortion_drive=13.102 from channel=1 cc=26 value=52
Mapped MIDI: distortion_drive=13.606 from channel=1 cc=26 value=54
Mapped MIDI: distortion_drive=13.858 from channel=1 cc=26 value=55
Mapped MIDI: distortion_drive=14.110 from channel=1 cc=26 value=56
Mapped MIDI: distortion_drive=14.362 from channel=1 cc=26 value=57
Mapped MIDI: distortion_drive=14.866 from channel=1 cc=26 value=59
Mapped MIDI: distortion_drive=15.118 from channel=1 cc=26 value=60
Mapped MIDI: distortion_drive=15.370 from channel=1 cc=26 value=61
Mapped MIDI: distortion_drive=15.622 from channel=1 cc=26 value=62
Mapped MIDI: distortion_drive=16.126 from channel=1 cc=26 value=64
Mapped MIDI: distortion_drive=16.378 from channel=1 cc=26 value=65
Mapped MIDI: distortion_drive=16.630 from channel=1 cc=26 value=66
Mapped MIDI: distortion_drive=16.882 from channel=1 cc=26 value=67
Mapped MIDI: distortion_drive=17.386 from channel=1 cc=26 value=69
Mapped MIDI: distortion_drive=17.638 from channel=1 cc=26 value=70
Mapped MIDI: distortion_drive=18.142 from channel=1 cc=26 value=72
Mapped MIDI: distortion_drive=18.394 from channel=1 cc=26 value=73
